"ID","LINK","SOCIAL_NETWORK_NAME","INFLUENCER_ID","SOCIAL_NETWORK_USER_ID"
"6169","https://www.instagram.com/tuulavintage/","Instagram","6119","7522782"
"6170","https://www.instagram.com/nikkietutorials/","Instagram","6120","14081467"
"6171","https://www.instagram.com/david_lachapelle","Instagram","6121","1070535009"
"6172","https://www.instagram.com/lokokitchen/","Instagram","6122","5871511938"
"6173","https://www.instagram.com/jamescharles","Instagram","6123","2153680783"
"6174","https://www.instagram.com/camillecharriere/","Instagram","6124","14342869"
"6175","https://www.instagram.com/drafernandagranja/","Instagram","6125","7327443017"
"6176","https://www.instagram.com/zoesugg","Instagram","6126","1404208"
"6177","https://www.instagram.com/cuecasnacozinha/","Instagram","6127","31182223"
"6178","https://www.instagram.com/proudlock/","Instagram","6128","21686064"
"6179","https://www.instagram.com/meghanrienks/","Instagram","6129","6459664"
"6180","https://www.instagram.com/jimmychin/","Instagram","6130","4721025"
"6181","https://www.instagram.com/muradosmann/","Instagram","6131","6281714"
"6182","https://www.instagram.com/culturetrip","Instagram","6132","980973569"
"6183","https://www.instagram.com/shaaanxo/","Instagram","6133","6170695"
"6184","https://www.instagram.com/tv/CEW8Oyrhomk","Instagram","6134",
"6185","https://www.instagram.com/doyoutravel/","Instagram","6135","1412125006"
"6186","https://www.instagram.com/acozinhacoletiva/","Instagram","6136","358957183"
"6187","https://www.instagram.com/thiswildidea/","Instagram","6137","9868480"
"6188","https://www.instagram.com/dedodemoca/","Instagram","6138","26401076133"
"6189","https://www.instagram.com/negin_mirsalehi","Instagram","6139","28159573"
"6190","https://www.instagram.com/patrickta/","Instagram","6140","23379226"
"6191","https://www.instagram.com/elavegan","Instagram","6141","2113357247"
"6192","https://www.instagram.com/nutritionstripped/","Instagram","6142","4750065"
"6193","https://www.instagram.com/bretcontreras1/","Instagram","6143","504702419"
"6194","https://www.instagram.com/maryleest/","Instagram","6144","419562966"
"6195","https://www.instagram.com/emilyschuman/","Instagram","6145","12148448"
"6196","https://www.instagram.com/kayla_itsines/","Instagram","6146","7210007"
"6197","https://www.instagram.com/mollyyeh","Instagram","6147","12217636"
"6198","https://www.instagram.com/justintimberlake/","Instagram","6148","303054725"
"6199","https://www.instagram.com/yamashitaphoto/","Instagram","6149","35849117"
"6200","https://www.instagram.com/amberfillerup","Instagram","6150","3561145"
"6251","https://www.instagram.com/abeautifulmess/","Instagram","6201","12548586"
"6252","https://www.instagram.com/danielkordan/","Instagram","6202","728187757"
"6253","https://www.instagram.com/hellolaurenash/","Instagram","6203","16762246"
"6254","https://www.instagram.com/iconaccidental","Instagram","6204","1475405317"
"6255","https://www.instagram.com/jamieoliver","Instagram","6205","3532778"
"6256","https://www.instagram.com/steffy","Instagram","6206","7834939"
"6257","https://www.instagram.com/joannagaines/","Instagram","6207","309745122"
"6258","https://www.instagram.com/sammyjaneeason/","Instagram","6208",
"6259","https://www.instagram.com/izkiz/","Instagram","6209","4140744"
"6260","https://www.instagram.com/quero_comida/","Instagram","6210","30174168562"
"6261","https://www.instagram.com/delemosgastroveg/","Instagram","6211","1200385870"
"6262","https://www.instagram.com/zoekellerart","Instagram","6212","9444613"
"6263","https://www.instagram.com/gastronogeek","Instagram","6213","1386269678"
"6264","https://www.instagram.com/ssssamanthaa/","Instagram","6214","27633031"
"6265","https://www.instagram.com/christineandrew/","Instagram","6215","281037013"
"6266","https://www.instagram.com/findandeat/","Instagram","6216","1717234234"
"6267","https://www.instagram.com/bbcearth","Instagram","6217","1364162422"
"6268","https://www.instagram.com/sommerray","Instagram","6218","522601519"
"6269","https://www.instagram.com/sjanaelise/","Instagram","6219","624360091"
"6270","https://www.instagram.com/followmeto","Instagram","6220","1746283334"
"6271","https://www.instagram.com/cornellbirds","Instagram","6221","6953083589"
"6272","https://www.instagram.com/cozinhasaudaveldagra/","Instagram","6222","1468480853"
"6273","https://www.instagram.com/hudabeauty","Instagram","6223","44222792"
"6274","https://www.instagram.com/badgalriri/","Instagram","6224","25945306"
"6275","https://www.instagram.com/funforlouis/","Instagram","6225","20945731"
"6276","https://www.instagram.com/billieeilish","Instagram","6226","28527810"
"6277","https://www.instagram.com/amivitale/","Instagram","6227","492356095"
"6278","https://www.instagram.com/selenagomez/","Instagram","6228","460563723"
"6279","https://www.instagram.com/bicepslikebriggs/","Instagram","6229","439101890"
"6280","https://www.instagram.com/jessicawang/","Instagram","6230","1017278"
"6281","https://www.instagram.com/aimeesong","Instagram","6231","10051934"
"6282","https://www.instagram.com/cozinhatravessa/","Instagram","6232","38504662232"
"6283","https://www.instagram.com/cristiano/","Instagram","6233","173560420"
"6284","https://www.instagram.com/adventurouskate/","Instagram","6234","8616247"
"6285","https://www.instagram.com/takethepower_july","Instagram","6235","2533019771"
"6286","https://www.instagram.com/witenry/","Instagram","6236","1210061824"
"6287","https://www.instagram.com/polinabrz/","Instagram","6237","349102812"
"6288","https://www.instagram.com/inaturalistorg","Instagram","6238","3581329829"
"6289","https://www.instagram.com/whatsupelle/","Instagram","6239","176686129"
"6290","https://www.instagram.com/ellenvonunwerth/","Instagram","6240","176547811"
"6291","https://www.instagram.com/desserted_in_paris","Instagram","6241","2012804"
"6292","https://www.instagram.com/soheefit/","Instagram","6242","186769998"
"6293","https://www.instagram.com/jessicashyba/","Instagram","6243","837709702"
"6294","https://www.instagram.com/momswearheels/","Instagram","6244","360272860"
"6295","https://www.instagram.com/sabinasocol/","Instagram","6245","2049109"
"6296","https://www.instagram.com/centerforbiodiv","Instagram","6246","1345983649"
"6297","https://www.instagram.com/beyonce/","Instagram","6247","247944034"
"6298","https://www.instagram.com/sonyaesman/","Instagram","6248","11976935"
"6299","https://www.instagram.com/publiclandshateyou","Instagram","6249","8095241617"
"6300","https://www.instagram.com/massy.arias/","Instagram","6250","3807983"
"6351","https://www.instagram.com/gparrish/","Instagram","6301","5735822"
"6352","https://www.instagram.com/somostribonatural/","Instagram","6302","2233571241"
"6353","https://www.instagram.com/chiaraferragni/","Instagram","6303","19769622"
"6354","https://www.instagram.com/melissa/","Instagram","6304","2929231"
"6355","https://www.instagram.com/virginiefaitsacuisine","Instagram","6305","1971562363"
"6356","https://www.instagram.com/eddiehallwsm/","Instagram","6306","410626911"
"6357","https://www.instagram.com/mommyshorts/","Instagram","6307","25960237"
"6358","https://www.instagram.com/kandeejohnson/","Instagram","6308","27391170"
"6359","https://www.instagram.com/gigihadid/","Instagram","6309","12995776"
"6360","https://www.instagram.com/gordelicias/","Instagram","6310","7628372635"
"6361","https://www.instagram.com/petesouza/","Instagram","6311","4303258197"
"6362","https://www.instagram.com/unep","Instagram","6312","1552543746"
"6363","https://www.instagram.com/enjoyphoenix/","Instagram","6313","181712705"
"6364","https://www.instagram.com/vegas_nay","Instagram","6314","19619019"
"6365","https://www.instagram.com/jenselter/","Instagram","6315","15561680"
"6366","https://www.instagram.com/influence4you/","Instagram","6316","2603016526"
