"INFLUENCER_ID","COUNTRY_CODE"
"7717","Botswana"
"7718","Botswana"
"7719","Botswana"
"7720","Botswana"
"7721","Botswana"
"7722","Botswana"
"7723","Botswana"
"7724","Botswana"
"7725","Botswana"
"7726","Botswana"
"7727","Botswana"
"7728","Botswana"
"7729","Botswana"
"7730","Botswana"
"7731","Botswana"
"7732","Botswana"
"7733","Botswana"
"7734","Bouvet Island"
"7735","Brazil"
"7736","Brazil"
"7737","Brazil"
"7738","Brazil"
"7739","Brazil"
"7740","Brazil"
"7741","Brazil"
"7742","Brazil"
"7743","Brazil"
"7744","Brazil"
"7745","Brazil"
"7746","Brazil"
"7747","Brazil"
"7748","Brazil"
"7749","Brazil"
"7750","Brazil"
"7801","Brazil"
"7802","Brazil"
"7803","Brazil"
"7804","Brazil"
"7805","Brazil"
"7806","Brazil"
"7807","Brazil"
"7808","Brazil"
"7809","Brazil"
"7810","Brazil"
"7811","Brazil"
"7812","Brazil"
"7813","Brazil"
"7814","British Indian Ocean Territory"
"7815","British Indian Ocean Territory"
"7816","British Indian Ocean Territory"
"7817","British Indian Ocean Territory"
"7818","British Indian Ocean Territory"
"7819","British Indian Ocean Territory"
"7820","British Indian Ocean Territory"
"7821","British Indian Ocean Territory"
"7822","British Indian Ocean Territory"
"7823","British Indian Ocean Territory"
"7824","British Indian Ocean Territory"
"7825","British Indian Ocean Territory"
"7826","British Indian Ocean Territory"
"7827","British Indian Ocean Territory"
"7828","British Indian Ocean Territory"
"7829","Brunei Darussalam"
"7830","Brunei Darussalam"
"7831","Brunei Darussalam"
"7832","Brunei Darussalam"
"7833","Brunei Darussalam"
"7834","Brunei Darussalam"
"7835","Brunei Darussalam"
"7836","Brunei Darussalam"
"7837","Brunei Darussalam"
"7838","Brunei Darussalam"
"7839","Brunei Darussalam"
"7840","Brunei Darussalam"
"7841","Brunei Darussalam"
"7842","Bulgaria"
"7843","Bulgaria"
"7844","Bulgaria"
"7845","Bulgaria"
"7846","Bulgaria"
"7847","Bulgaria"
"7848","Bulgaria"
"7849","Bulgaria"
"7850","Bulgaria"
"7901","Bulgaria"
"7902","Bulgaria"
"7903","Bulgaria"
"7904","Bulgaria"
"7905","Bulgaria"
"7906","Bulgaria"
"7907","Bulgaria"
"7908","Bulgaria"
"7909","Bulgaria"
"7910","Bulgaria"
"7911","Bulgaria"
"7912","Bulgaria"
"7913","Bulgaria"
"7914","Bulgaria"
"7915","Bulgaria"
"7916","Bulgaria"
"7917","Bulgaria"
"7918","Bulgaria"
"7919","Bulgaria"
"7920","Bulgaria"
"7921","Burkina Faso"
"7922","Burkina Faso"
"7923","Burkina Faso"
"7924","Burkina Faso"
"7925","Burkina Faso"
"7926","Burkina Faso"
"7927","Burkina Faso"
"7928","Burkina Faso"
"7929","Burkina Faso"
"7930","Burkina Faso"
"7931","Burkina Faso"
"7932","Burkina Faso"
"7933","Burkina Faso"
"7934","Burkina Faso"
"7935","Burkina Faso"
"7936","Burkina Faso"
"7937","Burkina Faso"
"7938","Burkina Faso"
"7939","Burkina Faso"
"7940","Burkina Faso"
"7941","Burkina Faso"
"7942","Cambodia"
"7943","Cambodia"
"7944","Cambodia"
"7945","Cambodia"
"7946","Cambodia"
"7947","Cambodia"
"7948","Cambodia"
"7949","Cambodia"
"7950","Cambodia"
"8001","Cambodia"
"8002","Cambodia"
"8003","Cambodia"
"8004","Cambodia"
"8005","Cambodia"
"8006","Cambodia"
"8007","Cambodia"
"8008","Cambodia"
"8009","Cambodia"
"8010","Cambodia"
"8011","Cambodia"
"8012","Cambodia"
"8013","Cambodia"
"8014","Cambodia"
"8015","Cambodia"
"8016","Cambodia"
"8017","Cambodia"
"8018","Cambodia"
